Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Year,Location_code,US_State,Abbreviation
20001218X45444,Accident,SEA87LA080,1948-10-24,"MOOSE CREEK, ID",United States,Fatal(2),Destroyed,STINSON,108-3,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,UNK,Probable Cause,1948,ID,Idaho,ID
20001218X45447,Accident,LAX94LA336,1962-07-19,"BRIDGEPORT, CA",United States,Fatal(4),Destroyed,PIPER,PA24-180,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,UNK,Probable Cause,1962,CA,California,CA
20061025X01555,Accident,NYC07LA005,1974-08-30,"Saltville, VA",United States,Fatal(3),Destroyed,CESSNA,172M,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,5.0,IMC,Probable Cause,1974,VA,Virginia,VA
20001218X45448,Accident,LAX96LA321,1977-06-19,"EUREKA, CA",United States,Fatal(2),Destroyed,ROCKWELL,112,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Probable Cause,1977,CA,California,CA
20041105X01764,Accident,CHI79FA064,1979-08-02,"Canton, OH",United States,Fatal(1),Destroyed,CESSNA,501,No,1.0,Reciprocating,Personal,1.0,2.0,0.0,0.0,VMC,Probable Cause,1979,OH,Ohio,OH
20170710X52551,Accident,NYC79AA106,1979-09-17,"BOSTON, MA",United States,Non-Fatal,Substantial,MCDONNELL DOUGLAS,DC9,No,2.0,Turbo Fan,Personal,1.0,0.0,1.0,44.0,VMC,Probable Cause,1979,MA,Massachusetts,MA
20001218X45446,Accident,CHI81LA106,1981-08-01,"COTTON, MN",United States,Fatal(4),Destroyed,CESSNA,180,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,Probable Cause,1981,MN,Minnesota,MN
20020909X01562,Accident,SEA82DA022,1982-01-01,"PULLMAN, WA",United States,Non-Fatal,Substantial,CESSNA,140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982,WA,Washington,WA
20020909X01561,Accident,NYC82DA015,1982-01-01,"EAST HANOVER, NJ",United States,Non-Fatal,Substantial,CESSNA,401B,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,Probable Cause,1982,NJ,New Jersey,NJ
20020909X01560,Accident,MIA82DA029,1982-01-01,"JACKSONVILLE, FL",United States,Non-Fatal,Substantial,NORTH AMERICAN,NAVION L-17B,No,1.0,Reciprocating,Personal,0.0,0.0,3.0,0.0,IMC,Probable Cause,1982,FL,Florida,FL
20020909X01559,Accident,FTW82DA034,1982-01-01,"HOBBS, NM",United States,Non-Fatal,Substantial,PIPER,PA-28-161,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982,NM,New Mexico,NM
20020909X01558,Accident,ATL82DKJ10,1982-01-01,"TUSKEGEE, AL",United States,Non-Fatal,Substantial,BEECH,V35B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982,AL,Alabama,AL
20020917X02148,Accident,FTW82FRJ07,1982-01-02,"HOMER, LA",United States,Non-Fatal,Destroyed,BELLANCA,17-30A,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IMC,Probable Cause,1982,LA,Louisiana,LA
20020917X02134,Accident,FTW82FRA14,1982-01-02,"HEARNE, TX",United States,Fatal(1),Destroyed,CESSNA,R172K,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Probable Cause,1982,TX,Texas,TX
20020917X02119,Accident,FTW82FPJ10,1982-01-02,"CHICKASHA, OK",United States,Fatal(1),Destroyed,NAVION,A,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Probable Cause,1982,OK,Oklahoma,OK
20020917X02117,Accident,FTW82FPG08,1982-01-02,"LITTLE ROCK, AR",United States,Fatal(2),Destroyed,BEECH,19,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Probable Cause,1982,AR,Arkansas,AR
20020917X01962,Accident,DEN82DTM08,1982-01-02,"MIDWAY, UT",United States,Non-Fatal,Destroyed,ENSTROM,280C,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,IMC,Probable Cause,1982,UT,Utah,UT
20020917X01656,Accident,ANC82FAG14,1982-01-02,"SKWENTA, AK",United States,Fatal(3),Destroyed,CESSNA,180,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Probable Cause,1982,AK,Alaska,AK
20020917X02481,Accident,NYC82DA016,1982-01-02,"GALETON, PA",United States,Non-Fatal,Substantial,CESSNA,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982,PA,Pennsylvania,PA
20020917X02339,Accident,MIA82DA028,1982-01-02,"MIAMI, FL",United States,Non-Fatal,Substantial,SMITH,WCS-222 (BELL 47G),No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982,FL,Florida,FL
20020917X01894,Accident,CHI82FEC08,1982-01-02,"YPSILANTI, MI",United States,Non-Fatal,Substantial,CESSNA,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982,MI,Michigan,MI
20020917X01776,Accident,CHI82DA020,1982-01-02,"CHARLOTTE, MI",United States,Non-Fatal,Substantial,CESSNA,150L,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982,MI,Michigan,MI
20020917X01657,Accident,ATL82DA027,1982-01-02,"CHAMBLEE, GA",United States,Non-Fatal,Substantial,BELL,206L-1,No,1.0,Turbo Shaft,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982,GA,Georgia,GA
20020917X02333,Incident,LAX82IA034,1982-01-03,"VAN NUYS, CA",United States,Incident,Minor,PIPER,PA-24-180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982,CA,California,CA
20020917X02255,Accident,LAX82FA040,1982-01-03,"10 NM W LEE VIN, CA",United States,Fatal(2),Destroyed,GRUMMAN,AA-5B,No,1.0,Reciprocating,Personal,2.0,1.0,0.0,0.0,IMC,Probable Cause,1982,CA,California,CA
20020917X01905,Accident,DCA82AA008,1982-01-03,"ASHLAND, VA",United States,Fatal(8),Destroyed,CESSNA,414A,No,2.0,Reciprocating,Business,8.0,0.0,0.0,0.0,IMC,Probable Cause,1982,VA,Virginia,VA
20020917X01720,Accident,ATL82FA033,1982-01-03,"PINEHURST, NC",United States,Fatal(1),Destroyed,BEECHCRAFT,BE-58,No,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Probable Cause,1982,NC,North Carolina,NC
20020917X02483,Accident,NYC82DA018,1982-01-03,"WHITE PLAINS, NY",United States,Non-Fatal,Substantial,MAULE,M-5-235C,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982,NY,New York,NY
